Banco,Produto,Prazo (meses),TANB (%),Mínimo (€),Máximo (€),Só novos clientes,Só novos montantes,Mobilização antecipada,IRS aplicável,Taxa IRS,Notas / condições,Validação rápida,Observação de validação,Fonte oficial / referência,Data de referência
Banco BiG,Super Depósito 3 Meses,3,3.0,5000.0,50000.0,Sim,Não,Sim,Sim,0.28,"+0,10% para 18-30 anos, ACP, ordens profissionais",Validado rápido,Validado rapidamente contra fonte oficial do banco ou preçário quando disponível; confirmar FIN antes de decisão real.,https://www.big.pt/TaxasDepositos/DepositosPrazo,2026-05-05
Caixa Geral de Depósitos (CGD),DP Boas Vindas,6,3.0,250.0,5000.0,Ver notas,Não,Sim,Sim,0.28,"Novos clientes desde 01/09/2025 ou com conta sem saldo desde 31/12/2024. 4,95€/mês manutenção, com possibilidades de isenção ou redução por idade, domiciliação, etc.",Validado rápido,Validado rapidamente contra fonte oficial do banco ou preçário quando disponível; confirmar FIN antes de decisão real.,https://www.cgd.pt/Particulares/Poupanca-Investimento/Depositos-a-Prazo-e-Poupanca/Pages/Depositos-a-Prazo-e-Contas-Poupanca.aspx,2026-05-05
Banco Português de Gestão (BPG),BPG Start,3,2.75,2500.0,100000.0,Não,Não,Não,Sim,0.28,Juros no início. Limitado a uma subscrição,Validado rápido,Validado rapidamente contra fonte oficial do banco ou preçário quando disponível; confirmar FIN antes de decisão real.,https://www.bpg.pt/deposito-a-prazo,2026-05-05
Haitong Bank,Depósito a Prazo Haitong,3,2.6,,,Não,Não,Ver notas,Sim,0.28,Sem limite mínimo/máximo. Taxa não mobilizável; taxa mobilizável indicada nas condições do banco. Confirmar se há protocolo/condição especial aplicável.,Validado rápido,Validado rapidamente contra fonte oficial do banco ou preçário quando disponível; confirmar FIN antes de decisão real.,https://www.haitongib.com/pt/poupanca/depositos-a-prazo-haitong/,2026-05-05
Haitong Bank,Depósito a Prazo Haitong,6,2.6,,,Não,Não,Ver notas,Sim,0.28,Sem limite mínimo/máximo. Taxa não mobilizável; taxa mobilizável indicada nas condições do banco. Confirmar se há protocolo/condição especial aplicável.,Validado rápido,Validado rapidamente contra fonte oficial do banco ou preçário quando disponível; confirmar FIN antes de decisão real.,https://www.haitongib.com/pt/poupanca/depositos-a-prazo-haitong/,2026-05-05
Banco Finantia,Depósito a Prazo Jump,12,2.55,50000.0,500000.0,Não,Sim,Não,Sim,0.28,Juros semestrais,Validado parcial,Fonte oficial/preçário consultado; confirmar FIN específica do produto/prazo antes de decisão real.,https://www.finantia.com/pt/banca-privada/depositos-a-prazo/,2026-05-05
Banco Finantia,Depósito a Prazo Visão,24,2.55,50000.0,500000.0,Não,Sim,Sim,Sim,0.28,"Opção de juros semestrais, com mobilização antecipada só no final de cada semestre",Validado parcial,Fonte oficial/preçário consultado; confirmar FIN específica do produto/prazo antes de decisão real.,https://www.finantia.com/pt/banca-privada/depositos-a-prazo/,2026-05-05
Banco Atlântico Europa,DP Global Living,3,2.5,2500.0,100000.0,Não,Sim,Sim,Sim,0.28,"4,99€/mês manutenção",Validado rápido,Validado rapidamente contra fonte oficial do banco ou preçário quando disponível; confirmar FIN antes de decisão real.,https://www.atlantico.eu/particulares/poupanca/prazo-fixo,2026-05-05
Banco Best,Depósito Novos Clientes,3,2.5,500.0,75000.0,Sim,Não,Sim,Sim,0.28,,Validado rápido,Validado rapidamente contra fonte oficial do banco ou preçário quando disponível; confirmar FIN antes de decisão real.,https://www.bancobest.pt/ptg/Depositos,2026-05-05
Banco BiG,Super Depósito 6 Meses,6,2.5,10000.0,50000.0,Sim,Não,Sim,Sim,0.28,"+0,10% para ACP e ordens profissionais",Validado rápido,Validado rapidamente contra fonte oficial do banco ou preçário quando disponível; confirmar FIN antes de decisão real.,https://www.big.pt/TaxasDepositos/DepositosPrazo,2026-05-05
